Period,Day,q_inverter,net_p_demand,q_consumption,q_capacity,p_x_q,p_x_p,p_x_q_capacity,voltage
1,1,1.0167426575146337,0.244,0.10394356473723396,24.0,0.2480852084335706,1.0337656316099197,0.10568385624247961,180199.4318877256
1,2,0.969605539822247,0.258,0.10990753976314083,24.0,0.2501582292741397,0.9401349028539909,0.10656695942257523,180238.99270469914
1,3,0.8726522970860984,0.214,0.09116361825314781,24.0,0.18674759157642504,0.761522031609644,0.07955414087928961,180273.8292871824
1,4,1.1116778030338494,0.237,0.10096157722428052,24.0,0.2634676393190223,1.2358275377581662,0.1122367443595205,180173.74480787132
1,5,0.9651763851877213,0.065,0.02768988404885331,24.0,0.06273646503720189,0.9315654545240366,0.026725622192539385,180276.20855560768
1,6,1.1730388922315882,0.189,0.08051366284974269,24.0,0.22170435063177016,1.3760202426879116,0.09444565787876974,180214.5861849233
1,7,1.0318300020690927,0.403,0.17167728110289052,24.0,0.4158274908338444,1.0646731531699039,0.17714176931561174,180221.39210709737
1,8,0.90661891026447,0.245,0.10436956295337016,24.0,0.22212163301479512,0.821957848449135,0.09462341942956345,180252.5181331591
1,9,0.9567067372809248,0.25,0.10649955403405119,24.0,0.2391766843202312,0.9152877811587125,0.10188884086179066,180264.98711139444
1,10,1.2900739606603508,0.408,0.17380727218357153,24.0,0.5263501759494231,1.6642908239738845,0.22422423601743174,180097.4034653026
1,11,1.3627568156986953,0.3,0.1277994648408614,24.0,0.40882704470960857,1.857106138733248,0.17415959175452966,180115.5108546018
1,12,0.904876451250388,0.352,0.14995137207994408,24.0,0.31851651084013655,0.8188013920274957,0.1356874654278263,180254.89159474283
1,13,1.020845192746357,0.23,0.0979795897113271,24.0,0.23479439433166213,1.042124907553347,0.1000219931440687,180187.5039390014
1,14,0.992443771656145,0.27,0.11501951835677529,24.0,0.26795981834715915,0.9849446398990743,0.11415040461207127,180249.2473327019
1,15,1.0804164323994172,0.292,0.12439147911177179,24.0,0.3154815982606298,1.1672996673986844,0.1343945980828271,180191.03655192672
1,16,0.9896677207985789,0.342,0.14569138991858205,24.0,0.338466360513114,0.9794421975906539,0.14418606580070015,180248.3935628392
1,17,0.9863273008162636,0.256,0.10905554333086842,24.0,0.25249978900896347,0.9728415443354962,0.10756445969258653,180214.74308233676
1,18,0.9460995630217077,0.409,0.17423327039970773,24.0,0.38695472127587843,0.8951043831498663,0.16484202098900652,180281.56745019119
1,19,1.306304850944258,0.437,0.18616122045152148,24.0,0.5708552198626408,1.7064323636005003,0.24318330533352592,180142.96086480413
1,20,0.8633467257263732,0.252,0.1073515504663236,24.0,0.21756337488304603,0.7453675688224494,0.09268160959674998,180464.1114093637
1,21,0.9156169468892763,0.191,0.08136565928201511,24.0,0.17488283685585176,0.8383543934308398,0.07449977653343179,180199.70608325204
1,22,0.6445267604797813,0.094,0.040043832316803245,24.0,0.06058551548509944,0.4154147449745614,0.02580932152034477,180689.16408395654
1,23,0.9027844052022047,0.331,0.1410054095410838,24.0,0.2988216381219298,0.8150196822762985,0.12729748478284061,180473.4585116528
1,24,1.3239680215626883,0.193,0.08221765571428752,24.0,0.25552582816159886,1.7528913221206193,0.1088535469735675,180119.6569758036
1,25,0.909161195151249,0.326,0.13887541846040274,24.0,0.2963865496193072,0.8265740787688476,0.1262601414245896,180519.7333165759
2,1,1.0634645606054498,0.37,0.15761933997039576,24.0,0.2480852084335706,1.0337656316099197,0.10568385624247961,180182.5701362126
2,2,0.9168216632064805,0.255,0.10862954511473222,24.0,0.2501582292741397,0.9401349028539909,0.10656695942257523,180287.82427866512
2,3,0.9276404389317285,0.235,0.10010958079200812,24.0,0.18674759157642504,0.761522031609644,0.07955414087928961,180238.25976252728
2,4,1.0543758233552367,0.186,0.07923566820133408,24.0,0.2634676393190223,1.2358275377581662,0.1122367443595205,180152.8748888951
2,5,1.0651327331787286,0.472,0.20107115801628864,24.0,0.06273646503720189,0.9315654545240366,0.026725622192539385,180257.4490496272
2,6,1.3704162956252972,0.476,0.20277515088083345,24.0,0.22170435063177016,1.3760202426879116,0.09444565787876974,180138.80061153488
2,7,0.9462689840807244,0.188,0.08008766463360649,24.0,0.4158274908338444,1.0646731531699039,0.17714176931561174,180208.11259243876
2,8,0.8864988930134139,0.329,0.14015341310881138,24.0,0.22212163301479512,0.821957848449135,0.09462341942956345,180471.0430607325
2,9,0.9126841172150506,0.208,0.08860762895633058,24.0,0.2391766843202312,0.9152877811587125,0.10188884086179066,180242.1898712907
2,10,0.8760222248045046,0.212,0.0903116218208754,24.0,0.5263501759494231,1.6642908239738845,0.22422423601743174,180536.96686101178
2,11,0.961748178917734,0.198,0.08434764679496855,24.0,0.40882704470960857,1.857106138733248,0.17415959175452966,180259.0902363215
2,12,1.4859278090095742,0.399,0.1699732882383457,24.0,0.31851651084013655,0.8188013920274957,0.1356874654278263,180032.49399597172
2,13,1.2049560940284145,0.366,0.15591534710585095,24.0,0.23479439433166213,1.042124907553347,0.1000219931440687,180145.53139895038
2,14,1.0425604681823266,0.164,0.06986370744633759,24.0,0.26795981834715915,0.9849446398990743,0.11415040461207127,180196.69667408377
2,15,1.1894991994322375,0.27,0.11501951835677529,24.0,0.3154815982606298,1.1672996673986844,0.1343945980828271,180113.91607528809
2,16,0.7502180103422127,0.203,0.08647763787564958,24.0,0.338466360513114,0.9794421975906539,0.14418606580070015,180417.35437583676
2,17,0.8550309817789952,0.145,0.06176974133974968,24.0,0.25249978900896347,0.9728415443354962,0.10756445969258653,180419.27747364985
2,18,1.0855147809895698,0.333,0.1418574059733562,24.0,0.38695472127587843,0.8951043831498663,0.16484202098900652,180189.5002745432
2,19,0.959457515311378,0.135,0.057509759178387646,24.0,0.5708552198626408,1.7064323636005003,0.24318330533352592,180193.4728738939
2,20,0.9981235108635467,0.262,0.11161153262768565,24.0,0.21756337488304603,0.7453675688224494,0.09268160959674998,180240.19666736195
2,21,0.9107715766414941,0.291,0.12396548089563557,24.0,0.17488283685585176,0.8383543934308398,0.07449977653343179,180230.2090935772
2,22,0.874370757954626,0.267,0.11374152370836668,24.0,0.06058551548509944,0.4154147449745614,0.02580932152034477,180498.41059285248
2,23,1.1176737485873822,0.298,0.126947468408589,24.0,0.2988216381219298,0.8150196822762985,0.12729748478284061,180085.64169146479
2,24,1.2163233579561314,0.329,0.14015341310881138,24.0,0.25552582816159886,1.7528913221206193,0.1088535469735675,180124.06581639603
2,25,0.9166800078205455,0.329,0.14015341310881138,24.0,0.2963865496193072,0.8265740787688476,0.1262601414245896,180532.80649869717
3,1,0.924768188678545,0.334,0.1422834041894924,24.0,0.2480852084335706,1.0337656316099197,0.10568385624247961,180258.07313711764
3,2,0.9295718987828572,0.377,0.16060132748334918,24.0,0.2501582292741397,0.9401349028539909,0.10656695942257523,180301.1917040035
3,3,0.9307138175674154,0.379,0.16145332391562162,24.0,0.18674759157642504,0.761522031609644,0.07955414087928961,180521.43762491338
3,4,0.9650483327002632,0.215,0.09158961646928403,24.0,0.2634676393190223,1.2358275377581662,0.1122367443595205,180196.11422086466
3,5,0.9490300066175656,0.237,0.10096157722428052,24.0,0.06273646503720189,0.9315654545240366,0.026725622192539385,180203.80550187416
3,6,0.8522470410148912,0.005,0.002129991080681024,24.0,0.22170435063177016,1.3760202426879116,0.09444565787876974,180278.91600325317
3,7,0.772481356476888,0.02,0.008519964322724095,24.0,0.4158274908338444,1.0646731531699039,0.17714176931561174,180341.13940826018
3,8,0.8483070621612079,0.192,0.08179165749815132,24.0,0.22212163301479512,0.821957848449135,0.09462341942956345,180492.47128929777
3,9,0.781167512000291,0.319,0.13589343094744932,24.0,0.2391766843202312,0.9152877811587125,0.10188884086179066,180602.91134475401
3,10,1.117394921227703,0.198,0.08434764679496855,24.0,0.5263501759494231,1.6642908239738845,0.22422423601743174,180186.8258426149
3,11,0.8085166127326389,0.268,0.11416752192450288,24.0,0.40882704470960857,1.857106138733248,0.17415959175452966,180602.3998280799
3,12,0.8242179879353202,0.209,0.0890336271724668,24.0,0.31851651084013655,0.8188013920274957,0.1356874654278263,180597.27235728456
3,13,0.945632425132743,0.192,0.08179165749815132,24.0,0.23479439433166213,1.042124907553347,0.1000219931440687,180240.61516685362
3,14,0.9802465991662181,0.283,0.12055749516654593,24.0,0.26795981834715915,0.9849446398990743,0.11415040461207127,180256.6189108652
3,15,0.9291422863046286,0.174,0.07412368960769962,24.0,0.3154815982606298,1.1672996673986844,0.1343945980828271,180236.52356122917
3,16,0.9178722293943835,0.197,0.08392164857883234,24.0,0.338466360513114,0.9794421975906539,0.14418606580070015,180239.15824747883
3,17,0.9430269366470796,0.2,0.08519964322724095,24.0,0.25249978900896347,0.9728415443354962,0.10756445969258653,180208.6966744714
3,18,0.7645513285008398,0.252,0.1073515504663236,24.0,0.38695472127587843,0.8951043831498663,0.16484202098900652,180367.14072791114
3,19,0.7424378599087085,0.194,0.08264365393042372,24.0,0.5708552198626408,1.7064323636005003,0.24318330533352592,180471.53113588027
3,20,0.8619510962086743,0.115,0.04898979485566355,24.0,0.21756337488304603,0.7453675688224494,0.09268160959674998,180467.20090361862
3,21,0.8296688015663243,0.068,0.028967878697261924,24.0,0.17488283685585176,0.8383543934308398,0.07449977653343179,180475.1828176117
3,22,0.9084043477048027,0.233,0.09925758435973571,24.0,0.06058551548509944,0.4154147449745614,0.02580932152034477,180270.0953631008
3,23,1.028292800882852,0.208,0.08860762895633058,24.0,0.2988216381219298,0.8150196822762985,0.12729748478284061,180166.02178455
3,24,1.0723281010783232,0.27,0.11501951835677529,24.0,0.25552582816159886,1.7528913221206193,0.1088535469735675,180182.95263822764
3,25,0.6102729125580737,0.093,0.03961783410066704,24.0,0.2963865496193072,0.8265740787688476,0.1262601414245896,180503.31920417518
4,1,0.487764023500052,0.239,0.10181357365655293,24.0,0.2480852084335706,1.0337656316099197,0.10568385624247961,181255.77034270915
